actor1,actor2,weight
Charlie Day,Chris Pratt,2
Anya Taylor-Joy,Chris Pratt,2
Chris Pratt,Jack Black,2
Chris Pratt,Keegan-Michael Key,2
Benny Safdie,Chris Pratt,1
Chris Pratt,Donald Glover,1
Chris Pratt,Luis Guzmán,1
Anya Taylor-Joy,Charlie Day,2
Charlie Day,Jack Black,2
Charlie Day,Keegan-Michael Key,2
Benny Safdie,Charlie Day,1
Charlie Day,Donald Glover,1
Charlie Day,Luis Guzmán,1
Anya Taylor-Joy,Jack Black,2
Anya Taylor-Joy,Keegan-Michael Key,2
Anya Taylor-Joy,Benny Safdie,1
Anya Taylor-Joy,Donald Glover,1
Anya Taylor-Joy,Luis Guzmán,1
Jack Black,Keegan-Michael Key,2
Benny Safdie,Jack Black,1
Donald Glover,Jack Black,1
Jack Black,Luis Guzmán,1
Benny Safdie,Keegan-Michael Key,1
Donald Glover,Keegan-Michael Key,1
Keegan-Michael Key,Luis Guzmán,1
Benny Safdie,Donald Glover,1
Benny Safdie,Luis Guzmán,1
Donald Glover,Luis Guzmán,1
Daniel Vegas,Veronika Zhuravleva,1
Daniel Vegas,Ivan Trushin,1
Daniel Vegas,Maksim Saprykin,1
Alya Mayer,Daniel Vegas,1
Daniel Vegas,Evgeniya Loza,1
Daniel Vegas,Pavel Kuzmin,1
Alexandra Tikhonova,Daniel Vegas,1
Ivan Trushin,Veronika Zhuravleva,1
Maksim Saprykin,Veronika Zhuravleva,1
Alya Mayer,Veronika Zhuravleva,1
Evgeniya Loza,Veronika Zhuravleva,1
Pavel Kuzmin,Veronika Zhuravleva,1
Alexandra Tikhonova,Veronika Zhuravleva,1
Ivan Trushin,Maksim Saprykin,1
Alya Mayer,Ivan Trushin,1
Evgeniya Loza,Ivan Trushin,1
Ivan Trushin,Pavel Kuzmin,1
Alexandra Tikhonova,Ivan Trushin,1
Alya Mayer,Maksim Saprykin,1
Evgeniya Loza,Maksim Saprykin,1
Maksim Saprykin,Pavel Kuzmin,1
Alexandra Tikhonova,Maksim Saprykin,1
Alya Mayer,Evgeniya Loza,1
Alya Mayer,Pavel Kuzmin,1
Alexandra Tikhonova,Alya Mayer,1
Evgeniya Loza,Pavel Kuzmin,1
Alexandra Tikhonova,Evgeniya Loza,1
Alexandra Tikhonova,Pavel Kuzmin,1
Sam Worthington,Zoe Saldaña,3
Sam Worthington,Sigourney Weaver,3
Sam Worthington,Stephen Lang,3
Oona Chaplin,Sam Worthington,1
Jack Champion,Sam Worthington,1
Kate Winslet,Sam Worthington,2
Cliff Curtis,Sam Worthington,2
Sigourney Weaver,Zoe Saldaña,3
Stephen Lang,Zoe Saldaña,3
Oona Chaplin,Zoe Saldaña,1
Jack Champion,Zoe Saldaña,1
Kate Winslet,Zoe Saldaña,2
Cliff Curtis,Zoe Saldaña,2
Sigourney Weaver,Stephen Lang,3
Oona Chaplin,Sigourney Weaver,1
Jack Champion,Sigourney Weaver,1
Kate Winslet,Sigourney Weaver,2
Cliff Curtis,Sigourney Weaver,2
Oona Chaplin,Stephen Lang,1
Jack Champion,Stephen Lang,1
Kate Winslet,Stephen Lang,2
Cliff Curtis,Stephen Lang,2
Jack Champion,Oona Chaplin,1
Kate Winslet,Oona Chaplin,1
Cliff Curtis,Oona Chaplin,1
Jack Champion,Kate Winslet,1
Cliff Curtis,Jack Champion,1
Cliff Curtis,Kate Winslet,2
Ryan Gosling,Sandra Hüller,1
James Ortiz,Ryan Gosling,1
Lionel Boyce,Ryan Gosling,1
Milana Vayntrub,Ryan Gosling,1
Ken Leung,Ryan Gosling,1
Priya Kansara,Ryan Gosling,1
Mia Soteriou,Ryan Gosling,1
James Ortiz,Sandra Hüller,1
Lionel Boyce,Sandra Hüller,1
Milana Vayntrub,Sandra Hüller,1
Ken Leung,Sandra Hüller,1
Priya Kansara,Sandra Hüller,1
Mia Soteriou,Sandra Hüller,1
James Ortiz,Lionel Boyce,1
James Ortiz,Milana Vayntrub,1
James Ortiz,Ken Leung,1
James Ortiz,Priya Kansara,1
James Ortiz,Mia Soteriou,1
Lionel Boyce,Milana Vayntrub,1
Ken Leung,Lionel Boyce,1
Lionel Boyce,Priya Kansara,1
Lionel Boyce,Mia Soteriou,1
Ken Leung,Milana Vayntrub,1
Milana Vayntrub,Priya Kansara,1
Mia Soteriou,Milana Vayntrub,1
Ken Leung,Priya Kansara,1
Ken Leung,Mia Soteriou,1
Mia Soteriou,Priya Kansara,1
Dave Bautista,Eric Nam,1
Eric Nam,Jessica Matten,1
Eric Nam,Román Zaragoza,1
Eric Nam,Steven Yeun,1
Dionne Quan,Eric Nam,1
Dee Bradley Baker,Eric Nam,1
Eric Nam,Freida Pinto,1
Dave Bautista,Jessica Matten,1
Dave Bautista,Román Zaragoza,1
Dave Bautista,Steven Yeun,1
Dave Bautista,Dionne Quan,1
Dave Bautista,Dee Bradley Baker,1
Dave Bautista,Freida Pinto,1
Jessica Matten,Román Zaragoza,1
Jessica Matten,Steven Yeun,1
Dionne Quan,Jessica Matten,1
Dee Bradley Baker,Jessica Matten,1
Freida Pinto,Jessica Matten,1
Román Zaragoza,Steven Yeun,1
Dionne Quan,Román Zaragoza,1
Dee Bradley Baker,Román Zaragoza,1
Freida Pinto,Román Zaragoza,1
Dionne Quan,Steven Yeun,1
Dee Bradley Baker,Steven Yeun,1
Freida Pinto,Steven Yeun,1
Dee Bradley Baker,Dionne Quan,1
Dionne Quan,Freida Pinto,1
Dee Bradley Baker,Freida Pinto,1
Phoebe Dynevor,Whitney Peak,1
Djimon Hounsou,Phoebe Dynevor,1
Matt Nable,Phoebe Dynevor,1
Andrew Lees,Phoebe Dynevor,1
Alyla Browne,Phoebe Dynevor,1
Phoebe Dynevor,Stacy Clausen,1
Dante Ubaldi,Phoebe Dynevor,1
Djimon Hounsou,Whitney Peak,1
Matt Nable,Whitney Peak,1
Andrew Lees,Whitney Peak,1
Alyla Browne,Whitney Peak,1
Stacy Clausen,Whitney Peak,1
Dante Ubaldi,Whitney Peak,1
Djimon Hounsou,Matt Nable,1
Andrew Lees,Djimon Hounsou,1
Alyla Browne,Djimon Hounsou,1
Djimon Hounsou,Stacy Clausen,1
Dante Ubaldi,Djimon Hounsou,1
Andrew Lees,Matt Nable,1
Alyla Browne,Matt Nable,1
Matt Nable,Stacy Clausen,1
Dante Ubaldi,Matt Nable,1
Alyla Browne,Andrew Lees,1
Andrew Lees,Stacy Clausen,1
Andrew Lees,Dante Ubaldi,1
Alyla Browne,Stacy Clausen,1
Alyla Browne,Dante Ubaldi,1
Dante Ubaldi,Stacy Clausen,1
Bobby Moynihan,Piper Curda,1
Jon Hamm,Piper Curda,1
Kathy Najimy,Piper Curda,1
Dave Franco,Piper Curda,1
Eduardo Franco,Piper Curda,1
Aparna Nancherla,Piper Curda,1
Piper Curda,Tom Law,1
Bobby Moynihan,Jon Hamm,1
Bobby Moynihan,Kathy Najimy,1
Bobby Moynihan,Dave Franco,1
Bobby Moynihan,Eduardo Franco,1
Aparna Nancherla,Bobby Moynihan,1
Bobby Moynihan,Tom Law,1
Jon Hamm,Kathy Najimy,1
Dave Franco,Jon Hamm,1
Eduardo Franco,Jon Hamm,1
Aparna Nancherla,Jon Hamm,1
Jon Hamm,Tom Law,1
Dave Franco,Kathy Najimy,1
Eduardo Franco,Kathy Najimy,1
Aparna Nancherla,Kathy Najimy,1
Kathy Najimy,Tom Law,1
Dave Franco,Eduardo Franco,1
Aparna Nancherla,Dave Franco,1
Dave Franco,Tom Law,1
Aparna Nancherla,Eduardo Franco,1
Eduardo Franco,Tom Law,1
Aparna Nancherla,Tom Law,1
Paul Sparks,Willa Holland,1
John Adams,Willa Holland,1
Mark Steger,Willa Holland,1
Shelly Gibson,Willa Holland,1
Emily Bennett,Willa Holland,1
Keena Ferguson,Willa Holland,1
John Adams,Paul Sparks,1
Mark Steger,Paul Sparks,1
Paul Sparks,Shelly Gibson,1
Emily Bennett,Paul Sparks,1
Keena Ferguson,Paul Sparks,1
John Adams,Mark Steger,1
John Adams,Shelly Gibson,1
Emily Bennett,John Adams,1
John Adams,Keena Ferguson,1
Mark Steger,Shelly Gibson,1
Emily Bennett,Mark Steger,1
Keena Ferguson,Mark Steger,1
Emily Bennett,Shelly Gibson,1
Keena Ferguson,Shelly Gibson,1
Emily Bennett,Keena Ferguson,1
Mark Wahlberg,Paul Walter Hauser,1
Mark Wahlberg,Sacha Baron Cohen,1
Benjamin Bratt,Mark Wahlberg,1
Luciano Szafir,Mark Wahlberg,1
Eva De Dominici,Mark Wahlberg,1
Daniela Melchior,Mark Wahlberg,1
Mark Wahlberg,Molly Shannon,1
Paul Walter Hauser,Sacha Baron Cohen,1
Benjamin Bratt,Paul Walter Hauser,1
Luciano Szafir,Paul Walter Hauser,1
Eva De Dominici,Paul Walter Hauser,1
Daniela Melchior,Paul Walter Hauser,1
Molly Shannon,Paul Walter Hauser,1
Benjamin Bratt,Sacha Baron Cohen,1
Luciano Szafir,Sacha Baron Cohen,1
Eva De Dominici,Sacha Baron Cohen,1
Daniela Melchior,Sacha Baron Cohen,1
Molly Shannon,Sacha Baron Cohen,1
Benjamin Bratt,Luciano Szafir,1
Benjamin Bratt,Eva De Dominici,1
